"ID";"AUTHORS";"AVGRATING";"CATEGORIES";"DATEOFADDITION";"DATEOFPUBLICATION";"DESCRIPTION";"NOTE";"IMAGEURL";"INDUSTRIALIDENTIFIER";"LANGUAGE";"LOCATION";"PAGECOUNT";"PREVIEWLINK";"PRICE";"PRINTTYPE";"PUBLISHER";"SUBTITLE";"TITLE";"VOTES"
"30000";"Chris Rupp";"0.0";"Requirements-Engineering";"18.09.2013";"01.07.2009";;"privates Exemplar";;"9783446418417";"de";"TAB 2.57";"555";"http://books.google.de/books?id=l0jfPwAACAAJ&dq=isbn:9783446418417&hl=&cd=1&source=gbs_api";"49.90";"BOOK";"Hanser";;"Requirements-Engineering und -Management";"0"
"30001";"Ian Sommerville";"0.0";"Software-Engineering";"18.09.2013";"01.01.2007";"SOMMERVILLE Software Engineering 8 The eighth edition of the best-selling introduction to software engineering is now updated with three new chapters on state-of-the-art topics. New chapters in the 8th edition O Security engineering, showing youhow you can design software to resist attacks and recover from damage; O Service-oriented software engineering, explaininghow reusable web services can be used to develop new applications; O Aspect-oriented software development, introducing new techniques based on the separation of concerns. Key features O Includes the latest developments in software engineering theory and practice, integrated with relevant aspects of systems engineering. O Extensive coverage ofagile methods andreuse. O Integrated coverage of system safety, security and reliability - illustrating best practice in developing critical systems. O Two running case studies (an information system and a control system) illuminate different stages of thesoftware lifecycle. Online resources Visit www.pearsoned.co.uk/sommerville to access a full range of resources for students and instructors. In addition, a rich collection of resources including links to other web sites, teaching material on related courses and additional chapters is available at http: //www.software-engin.com. IAN SOMMERVILLE is Professor of Software Engineering at the University of St. Andrews in Scotland.";"privates Exemplar";"http://bks8.books.google.de/books?id=B7idKfL0H64C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780321313799";"en";"TAB 2.57";"840";"http://books.google.de/books?id=B7idKfL0H64C&printsec=frontcover&dq=isbn:9780321313799&hl=&cd=1&source=gbs_api";;"BOOK";"Pearson Education";"8th edition";"Software Engineering";"0"
"30002";"Ian Sommerville";"0.0";"Software-Engineering";"18.09.2013";"01.01.2001";"Software Engineering presents a broad perspective on software systems engineering, concentrating on widely-used techniques for developing large-scale software systems. In seven parts, this best-selling book covers a wide spectrum of software processes from initial requirements elicitation through design and development to system evolution. It supports students taking undergraduate and graduate courses in software engineering and software engineers in industry who need to update their knowledge on new techniques such as requirements engineering, distributed systems architectures and system dependability. Extensive market research has ensured that this new edition is useful and relevant for both students and practising software engineers. The sixth edition has been restructured and updated, important new topics have been added and obsolete material has been cut. The end result is an even more focused book that is about 10% shorter than the previous edition. Changes from the fifth edition - There are new chapters covering software processes, distributed systems architectures, dependability and legacy systems. - Program examples are now in Java and graphical system models are described in the standard UML. - All chapters have been updated and several have been extensively rewritten. Reuse now focuses on component-based development and patterns; object-oriented design has a process focus and uses the UML; the chapters on requirements have been split to cover the requirements themselves and requirements engineering process; cost estimation has been updated to include the COCOMO 2 model. - The chapters on critical systems has been restructured so that reliability, safety, availability and security are integrated in chapters on critical systems specification, development and validation. - The section on formal specification has been cut to a single chapter and material on CASE has been integrated with the chapters covering the processes supported. Functional design has been incorporated in the new chapter on legacy systems. The book's web site (www.software-engin.com) includes links to material to support the use of the book in teaching and personal study. It includes an instructor's manual, overhead transparencies, source code of the program examples and additional material on CASE and formal specification. Ian Sommerville is Professor of Software Engineering at Lancaster University, England. He has more than 20 years of experience in software engineering education and research. His current areas of interest include computer-based systems engineering, requirements engineering, system dependability and software evolution.";"privates Exemplar";"http://bks5.books.google.de/books?id=Uoo_AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780201398151";"en";"TAB 2.57";"693";"http://books.google.de/books?id=Uoo_AQAAIAAJ&dq=isbn:9780201398151&hl=&cd=1&source=gbs_api";;"BOOK";"Addison Wesley";"6th edition";"Software engineering";"0"
"30003";"Ian Sommerville";"0.0";"S";"18.09.2013";"01.03.2012";;"privates Exemplar";;"9783868940992";"en";"TAB 2.57";"845";"http://books.google.de/books?id=wxPnLwEACAAJ&dq=isbn:9783868940992&hl=&cd=1&source=gbs_api";;"BOOK";;"9. Ausgabe";"Software Engineering";"0"
"30004";"Chris Rupp; Stefan Queins; Barbara Zengler";"0.0";"UML (Programming language)";"18.09.2013";"01.01.2007";;"privates Exemplar";"http://bks7.books.google.de/books?id=bDvW5_08l4wC&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783446411180";"de";"TAB 2.57";"554";"http://books.google.de/books?id=bDvW5_08l4wC&dq=isbn:9783446411180&hl=&cd=1&source=gbs_api";;"BOOK";"Hanser Verlag";;"UML 2 glasklar";"0"
"30005";"Bernd Müller";"0.0";"Programmierung";"18.09.2013";"01.10.2010";;"privates Exemplar";;"9783446419926";"de";"TAB 2.57";"497";"http://books.google.de/books?id=jFzoPwAACAAJ&dq=isbn:9783446419926&hl=&cd=1&source=gbs_api";;"BOOK";;;"JavaServer Faces";"0"
"30006";"Helmult Balzert";"0.0";"Software-Engineering";;"01.01.2011";;"privates Exemplar";;"9783827417060";"de";"TAB 2.57";"0";;;"BOOK";"Spektrum";"Entwurf, Implementierung, Installation und Betrieb; 3. Auflage";"Lehrbuch der Softwaretechnik";"0"
"30007";"Roger S. Pressman";"0.0";"Software-Engineering";"18.09.2013";"01.01.1997";"This text has been fully revised to reflect the latest software engineering practice. It includes material on e-commerce, Java, UML, while a new chapter on web engineering addresses formulating, analysing and testing web-based applications.";"privates Exemplar";;"9780077094119";"en";"TAB 2.57";"885";"http://books.google.de/books?id=vt-YPwAACAAJ&dq=isbn:9780077094119&hl=&cd=1&source=gbs_api";;"BOOK";"McGraw-Hill";;"Software Engineering";"0"
"30008";"Jochen Ludewig; Horst Lichter";"0.0";"Software-Engineering";"18.09.2013";"01.01.2006";;"privates Exemplar";"http://bks8.books.google.de/books?id=CnfmAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783898642682";"de";"TAB 2.57";"618";"http://books.google.de/books?id=CnfmAAAACAAJ&dq=isbn:9783898642682&hl=&cd=1&source=gbs_api";;"BOOK";;;"Bausteine des Software Engineering";"0"
"30009";"Paul Ammann; Jeff Offutt";"0.0";"Test";"18.09.2013";"28.01.2008";"Teaches students an innovative and successful approach to software testing. Resources for instructors (e.g. PowerPoint slides, solutions) on supporting website.";"privates Exemplar";"http://bks9.books.google.de/books?id=leokXF8pLY0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780521880381";"en";"TAB 2.57";"322";"http://books.google.de/books?id=leokXF8pLY0C&printsec=frontcover&dq=isbn:9780521880381&hl=&cd=1&source=gbs_api";;"BOOK";"Cambridge University Press";;"Introduction to Software Testing";"0"
